 A JE                    137-131-8227     1969
 NGLPHSAENJMSFO K        816-630-5322     6578
 NGLPHSAENJMSFO K        816-630-5322     1061
 NGLPHSAENJMSFO K        816-630-5322     2869
 NGLPHSAENJMSFO K        816-630-5322     4704
 NGLPHSAENJMSFO K        816-630-5322      366
 NGLPHSAENJMSFO K        816-630-5322     5984
 NGLPHSAENJMSFO K        816-630-5322     2412
 NGLPHSAENJMSFO K        816-630-5322     4110
 NGLPHSAENJMSFO K        816-630-5322     1613
 NGLPHSAENJMSFO K        816-630-5322     7124
 NGLPHSAENJMSFO K        816-630-5322     3367
 NGMRRSGDC NEER          456-332-4054     4366
 NGMRRSGDC NEER          456-332-4054     2531
 NGMRRSGDC NEER          456-332-4054     3029
 NGMRRSGDC NEER          456-332-4054     2074
 NGMRRSGDC NEER          456-332-4054     6240
 NGMRRSGDC NEER          456-332-4054     7152
 NGMRRSGDC NEER          456-332-4054     5441
 NGMRRSGDC NEER          456-332-4054     1275
 NGMRRSGDC NEER          456-332-4054     7444
 NGMRRSGDC NEER          456-332-4054     3496
 NGMRRSGDC NEER          456-332-4054     3772
 NGMRRSGDC NEER          456-332-4054     4911
 NGMRRSGDC NEER          456-332-4054      723
 NGMRRSGDC NEER          456-332-4054     6786
 NGMRRSGDC NEER          456-332-4054     7671
 NGMRRSGDC NEER          456-332-4054       28
 NGMRRSGDC NEER          456-332-4054     5646
 NHJFAPQDSX IGIEX        748-022-7655     2031
 NHVME U                 142-294-1286     1920
 NHVME U                 142-294-1286      673
 NKBWJKYWN INWQAU        177-373-0848     6086
 NKBWJKYWN INWQAU        177-373-0848      468
 NKBWJKYWN INWQAU        177-373-0848     4212
 NKBWJKYWN INWQAU        177-373-0848     4806
 NKBWJKYWN INWQAU        177-373-0848     2971
 NKBWJKYWN INWQAU        177-373-0848     6680
 NKBWJKYWN INWQAU        177-373-0848     1163
 NKBWJKYWN INWQAU        177-373-0848     5351
 NKBWJKYWN INWQAU        177-373-0848     1715
 NKLHNGOJU ASGCXOGC      059-315-9576     6934
 NKLHNGOJU ASGCXOGC      059-315-9576     2679
 NKLHNGOJU ASGCXOGC      059-315-9576     4514
 NKLHNGOJU ASGCXOGC      059-315-9576     3920
 NKLHNGOJU ASGCXOGC      059-315-9576     3644
 NKLHNGOJU ASGCXOGC      059-315-9576     7300
 NKLHNGOJU ASGCXOGC      059-315-9576     2222
 NKLHNGOJU ASGCXOGC      059-315-9576     5589
 NKLHNGOJU ASGCXOGC      059-315-9576     1423
 NKLHNGOJU ASGCXOGC      059-315-9576     7592
 NKLHNGOJU ASGCXOGC      059-315-9576      871
 NKLHNGOJU ASGCXOGC      059-315-9576     7819
 NKLHNGOJU ASGCXOGC      059-315-9576     5059
 NKLHNGOJU ASGCXOGC      059-315-9576     3177
 NKLHNGOJU ASGCXOGC      059-315-9576     6388
 NKLHNGOJU ASGCXOGC      059-315-9576      176
 NKLHNGOJU ASGCXOGC      059-315-9576     5794
 NKULWQENMG BTY          497-292-8866     4128
 NKULWQENMG BTY          497-292-8866     2887
 NKULWQENMG BTY          497-292-8866     2430
 NKULWQENMG BTY          497-292-8866     6002
 NKULWQENMG BTY          497-292-8866     5267
 NKULWQENMG BTY          497-292-8866     1631
 NKULWQENMG BTY          497-292-8866     4722
 NKULWQENMG BTY          497-292-8866     6596
 NKULWQENMG BTY          497-292-8866      384
 NKULWQENMG BTY          497-292-8866     1079
 NKULWQENMG BTY          497-292-8866     3385
 NKXTOMVCGWXSRY YIO      861-189-1813     2238
 NKXTOMVCGWXSRY YIO      861-189-1813     3936
 NKXTOMVCGWXSRY YIO      861-189-1813     2695
 NKXTOMVCGWXSRY YIO      861-189-1813     5810
 NKXTOMVCGWXSRY YIO      861-189-1813     7316
 NKXTOMVCGWXSRY YIO      861-189-1813     3660
 NKXTOMVCGWXSRY YIO      861-189-1813     7608
 NKXTOMVCGWXSRY YIO      861-189-1813      192
 NKXTOMVCGWXSRY YIO      861-189-1813     1439
 NKXTOMVCGWXSRY YIO      861-189-1813     4530
 NKXTOMVCGWXSRY YIO      861-189-1813     6404
 NKXTOMVCGWXSRY YIO      861-189-1813     3193
 NKXTOMVCGWXSRY YIO      861-189-1813     6950
 NKXTOMVCGWXSRY YIO      861-189-1813     7835
 NKXTOMVCGWXSRY YIO      861-189-1813     5075
 NKXTOMVCGWXSRY YIO      861-189-1813      887
 NKXTOMVCGWXSRY YIO      861-189-1813     5605
 NMFXEQHPROE OXEKVYW     582-458-0972     6205
 NMFXEQHPROE OXEKVYW     582-458-0972     1834
 NMFXEQHPROE OXEKVYW     582-458-0972      587
 NMFXEQHPROE OXEKVYW     582-458-0972     4331
 NN UPEBL                661-603-9987     1760
 NN UPEBL                661-603-9987      513
 NN UPEBL                661-603-9987     6725
 NN UPEBL                661-603-9987     6131
 NN UPEBL                661-603-9987     4851
 NN UPEBL                661-603-9987     4257
 NN UPEBL                661-603-9987     5396
 NN UPEBL                661-603-9987     1208
 NOLBELHOHGMU ESCS       520-119-3845     1835
 NOLBELHOHGMU ESCS       520-119-3845     6206
 NOLBELHOHGMU ESCS       520-119-3845     4332
 NOLBELHOHGMU ESCS       520-119-3845      588
 NPPJHRWSLSXL OTN        423-823-0955      651
 NPPJHRWSLSXL OTN        423-823-0955     1898
 NPUEURLKOKHYNU TLBGX    808-105-1898      541
 NPUEURLKOKHYNU TLBGX    808-105-1898     6753
 NPUEURLKOKHYNU TLBGX    808-105-1898     1788
 NPUEURLKOKHYNU TLBGX    808-105-1898     4879
 NPUEURLKOKHYNU TLBGX    808-105-1898     4285
 NPUEURLKOKHYNU TLBGX    808-105-1898     6159
 NPUEURLKOKHYNU TLBGX    808-105-1898     1236
 NRVR EITNOQW            129-421-0862     1950
 NTMBYU UHBLXC           311-250-3828     3894
 NTMBYU UHBLXC           311-250-3828     3151
 NTMBYU UHBLXC           311-250-3828     5033
 NTMBYU UHBLXC           311-250-3828     5563
 NTMBYU UHBLXC           311-250-3828     6908
 NTMBYU UHBLXC           311-250-3828      150
 NTMBYU UHBLXC           311-250-3828     4488
 NTMBYU UHBLXC           311-250-3828     3618
 NTMBYU UHBLXC           311-250-3828     7566
 NTMBYU UHBLXC           311-250-3828      845
 NTMBYU UHBLXC           311-250-3828     5768
 NTMBYU UHBLXC           311-250-3828     7793
 NTMBYU UHBLXC           311-250-3828     2653
 NTMBYU UHBLXC           311-250-3828     2196
 NTMBYU UHBLXC           311-250-3828     7274
 NTMBYU UHBLXC           311-250-3828     6362
 NTMBYU UHBLXC           311-250-3828     1397
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     2191
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     3146
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     4483
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     3613
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     6357
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     5763
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026      840
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     7561
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     6903
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     5558
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     7269
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026      145
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     3889
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     2648
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     5028
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     7788
 NVRINAGOJKYWM XOVRBUDJ  286-179-3026     1392
 NW QUDLL                686-175-8140     2898
 NW QUDLL                686-175-8140     1642
 NW QUDLL                686-175-8140     2441
 NW QUDLL                686-175-8140     4139
 NW QUDLL                686-175-8140     5278
 NW QUDLL                686-175-8140     1090
 NW QUDLL                686-175-8140     6013
 NW QUDLL                686-175-8140      395
 NW QUDLL                686-175-8140     3396
 NW QUDLL                686-175-8140     6607
 NW QUDLL                686-175-8140     4733
 NXOUTGKLIOFOJJ GCFM     100-547-8679      762
 NXOUTGKLIOFOJJ GCFM     100-547-8679     7710
 NXOUTGKLIOFOJJ GCFM     100-547-8679     7191
 NXOUTGKLIOFOJJ GCFM     100-547-8679     3811
 NXOUTGKLIOFOJJ GCFM     100-547-8679     6825
 NXOUTGKLIOFOJJ GCFM     100-547-8679     3068
 NXOUTGKLIOFOJJ GCFM     100-547-8679     4405
 NXOUTGKLIOFOJJ GCFM     100-547-8679     6279
 NXOUTGKLIOFOJJ GCFM     100-547-8679     5685
 NXOUTGKLIOFOJJ GCFM     100-547-8679       67
 NXOUTGKLIOFOJJ GCFM     100-547-8679     7483
 NXOUTGKLIOFOJJ GCFM     100-547-8679     4950
 NXOUTGKLIOFOJJ GCFM     100-547-8679     2113
 NXOUTGKLIOFOJJ GCFM     100-547-8679     3535
 NXOUTGKLIOFOJJ GCFM     100-547-8679     2570
 NXOUTGKLIOFOJJ GCFM     100-547-8679     5480
 NXOUTGKLIOFOJJ GCFM     100-547-8679     1314
 NXOW UCYY               142-661-0799     1843
 NXOW UCYY               142-661-0799      596
 NXYITFANGVLNP QHSMLGKA  041-279-2529     2959
 NXYITFANGVLNP QHSMLGKA  041-279-2529     6074
 NXYITFANGVLNP QHSMLGKA  041-279-2529      456
 NXYITFANGVLNP QHSMLGKA  041-279-2529     4200
 NXYITFANGVLNP QHSMLGKA  041-279-2529     1703
 NXYITFANGVLNP QHSMLGKA  041-279-2529     3457
 NXYITFANGVLNP QHSMLGKA  041-279-2529     4794
 NXYITFANGVLNP QHSMLGKA  041-279-2529     2502
 NXYITFANGVLNP QHSMLGKA  041-279-2529     6668
 NXYITFANGVLNP QHSMLGKA  041-279-2529     5339
 NXYITFANGVLNP QHSMLGKA  041-279-2529     1151
 NYFEFSPRLSGEL UDXAYH    208-822-2025     1805
 NYFEFSPRLSGEL UDXAYH    208-822-2025     6176
 NYFEFSPRLSGEL UDXAYH    208-822-2025      558
 NYFEFSPRLSGEL UDXAYH    208-822-2025     4302
 NYMHJSXC DORE           438-887-4900     6881
 NYMHJSXC DORE           438-887-4900     3867
 NYMHJSXC DORE           438-887-4900     5536
 NYMHJSXC DORE           438-887-4900     2626
 NYMHJSXC DORE           438-887-4900     4461
 NYMHJSXC DORE           438-887-4900     3591
 NYMHJSXC DORE           438-887-4900     3124
 NYMHJSXC DORE           438-887-4900     7247
 NYMHJSXC DORE           438-887-4900     6335
 NYMHJSXC DORE           438-887-4900     5006
 NYMHJSXC DORE           438-887-4900     2169
 NYMHJSXC DORE           438-887-4900      123
 NYMHJSXC DORE           438-887-4900     5741
 NYMHJSXC DORE           438-887-4900      818
 NYMHJSXC DORE           438-887-4900     1370
 NYMHJSXC DORE           438-887-4900     7539
 NYMHJSXC DORE           438-887-4900     7766
 O CWX                   115-356-6491     5817
 O CWX                   115-356-6491     1446
 O CWX                   115-356-6491     6957
 O CWX                   115-356-6491      199
 O CWX                   115-356-6491     2245
 O CWX                   115-356-6491      894
 O CWX                   115-356-6491     3200
 O CWX                   115-356-6491     7842
 O CWX                   115-356-6491     7615
 O CWX                   115-356-6491     2702
 O CWX                   115-356-6491     6411
 O CWX                   115-356-6491     7323
 O CWX                   115-356-6491     3667
 O CWX                   115-356-6491     3943
 O CWX                   115-356-6491     4537
 O CWX                   115-356-6491     5612
 O CWX                   115-356-6491     5082
 O D                     313-670-7063     7827
 O D                     313-670-7063     5067
 O D                     313-670-7063     6942
 O D                     313-670-7063     5597
 O D                     313-670-7063     7600
 O D                     313-670-7063      184
 O D                     313-670-7063      879
 O D                     313-670-7063     5802
 O D                     313-670-7063     7308
 O D                     313-670-7063     6396
 O D                     313-670-7063     4522
 O D                     313-670-7063     1431
 O D                     313-670-7063     3652
 O D                     313-670-7063     3185
 O D                     313-670-7063     2687
 O D                     313-670-7063     3928
 O D                     313-670-7063     2230
 O OLKTA                 015-073-5481     5252
 O OLKTA                 015-073-5481     5987
 O OLKTA                 015-073-5481     1616
 O OLKTA                 015-073-5481     2872
 O OLKTA                 015-073-5481      369
 O OLKTA                 015-073-5481     2415
 O OLKTA                 015-073-5481     1064
 O OLKTA                 015-073-5481     6581
 O OLKTA                 015-073-5481     3370
 O OLKTA                 015-073-5481     4113
 O OLKTA                 015-073-5481     4707
 O UFX                   139-981-9525     3296
 O UFX                   139-981-9525     1542
 O UFX                   139-981-9525      295
 O UFX                   139-981-9525     7938
 O UFX                   139-981-9525      990
 O UFX                   139-981-9525     5913
 O UFX                   139-981-9525     4039
 O UFX                   139-981-9525     4633
 O UFX                   139-981-9525     6507
 O UFX                   139-981-9525     2341
 O UFX                   139-981-9525     7053
 O UFX                   139-981-9525     2798
 O UFX                   139-981-9525     5178
 OAPHAANU QVFNENBJ       217-812-2413     6978
 OAPHAANU QVFNENBJ       217-812-2413     5838
 OAPHAANU QVFNENBJ       217-812-2413     3221
 OAPHAANU QVFNENBJ       217-812-2413     7863
 OAPHAANU QVFNENBJ       217-812-2413     2266
 OAPHAANU QVFNENBJ       217-812-2413     6432
 OAPHAANU QVFNENBJ       217-812-2413     2723
 OAPHAANU QVFNENBJ       217-812-2413     5103
 OAPHAANU QVFNENBJ       217-812-2413     3688
 OAPHAANU QVFNENBJ       217-812-2413     1467
 OAPHAANU QVFNENBJ       217-812-2413     3964
 OAPHAANU QVFNENBJ       217-812-2413     4558
 OAPHAANU QVFNENBJ       217-812-2413     7344
 OAPHAANU QVFNENBJ       217-812-2413      220
 OAPHAANU QVFNENBJ       217-812-2413     7636
 OAPHAANU QVFNENBJ       217-812-2413      915
 OCPIETJGO UL            416-797-0779      211
 OCPIETJGO UL            416-797-0779     7627
 OCPIETJGO UL            416-797-0779     6969
 OCPIETJGO UL            416-797-0779     6423
 OCPIETJGO UL            416-797-0779     7335
 OCPIETJGO UL            416-797-0779     2257
 OCPIETJGO UL            416-797-0779     5829
 OCPIETJGO UL            416-797-0779     1458
 OCPIETJGO UL            416-797-0779     7854
 OCPIETJGO UL            416-797-0779     3955
 OCPIETJGO UL            416-797-0779     3679
 OCPIETJGO UL            416-797-0779     3212
 OCPIETJGO UL            416-797-0779     5094
 OCPIETJGO UL            416-797-0779     2714
 OCPIETJGO UL            416-797-0779     4549
 OCPIETJGO UL            416-797-0779      906
 ODIKOCGJ T              320-087-4542     4639
 ODIKOCGJ T              320-087-4542     4045
 ODIKOCGJ T              320-087-4542      996
 ODIKOCGJ T              320-087-4542     2347
 ODIKOCGJ T              320-087-4542      301
 ODIKOCGJ T              320-087-4542     5184
 ODIKOCGJ T              320-087-4542     3302
 ODIKOCGJ T              320-087-4542     5919
 ODIKOCGJ T              320-087-4542     7059
 ODIKOCGJ T              320-087-4542     1548
 ODIKOCGJ T              320-087-4542     7944
 ODIKOCGJ T              320-087-4542     6513
 ODIKOCGJ T              320-087-4542     2804
 OEHEKMAPVB EFG          084-115-6117     5579
 OEHEKMAPVB EFG          084-115-6117     3910
 OEHEKMAPVB EFG          084-115-6117      861
 OEHEKMAPVB EFG          084-115-6117      166
 OEHEKMAPVB EFG          084-115-6117     7290
 OEHEKMAPVB EFG          084-115-6117     1413
 OEHEKMAPVB EFG          084-115-6117     7809
 OEHEKMAPVB EFG          084-115-6117     5784
 OEHEKMAPVB EFG          084-115-6117     7582
 OEHEKMAPVB EFG          084-115-6117     5049
 OEHEKMAPVB EFG          084-115-6117     4504
 OEHEKMAPVB EFG          084-115-6117     3167
 OEHEKMAPVB EFG          084-115-6117     2669
 OEHEKMAPVB EFG          084-115-6117     6378
 OEHEKMAPVB EFG          084-115-6117     3634
 OEHEKMAPVB EFG          084-115-6117     2212
 OEHEKMAPVB EFG          084-115-6117     6924
 OFLIYFVAJXIM JXPUSC     440-104-5670     2919
 OFLIYFVAJXIM JXPUSC     440-104-5670     4754
 OFLIYFVAJXIM JXPUSC     440-104-5670     6628
 OFLIYFVAJXIM JXPUSC     440-104-5670     4160
 OFLIYFVAJXIM JXPUSC     440-104-5670     2462
 OFLIYFVAJXIM JXPUSC     440-104-5670     6034
 OFLIYFVAJXIM JXPUSC     440-104-5670     5299
 OFLIYFVAJXIM JXPUSC     440-104-5670      416
 OFLIYFVAJXIM JXPUSC     440-104-5670     3417
 OFLIYFVAJXIM JXPUSC     440-104-5670     1111
 OFLIYFVAJXIM JXPUSC     440-104-5670     1663
 OFOECGN UKXPSWVS        271-059-2000     1960
 OHYMBYECSLXO TQWSV      012-277-3560     4035
 OHYMBYECSLXO TQWSV      012-277-3560     2337
 OHYMBYECSLXO TQWSV      012-277-3560     3292
 OHYMBYECSLXO TQWSV      012-277-3560     2794
 OHYMBYECSLXO TQWSV      012-277-3560     7049
 OHYMBYECSLXO TQWSV      012-277-3560     4629
 OHYMBYECSLXO TQWSV      012-277-3560     5909
 OHYMBYECSLXO TQWSV      012-277-3560     5174
 OHYMBYECSLXO TQWSV      012-277-3560     7415
 OHYMBYECSLXO TQWSV      012-277-3560     6503
 OHYMBYECSLXO TQWSV      012-277-3560      291
 OHYMBYECSLXO TQWSV      012-277-3560     7934
 OHYMBYECSLXO TQWSV      012-277-3560     1538
 OHYMBYECSLXO TQWSV      012-277-3560      986
 OJIPDPPGIHG HOLAKKE     741-456-5086     3256
 OJIPDPPGIHG HOLAKKE     741-456-5086      950
 OJIPDPPGIHG HOLAKKE     741-456-5086     2758
 OJIPDPPGIHG HOLAKKE     741-456-5086     2301
 OJIPDPPGIHG HOLAKKE     741-456-5086     1502
 OJIPDPPGIHG HOLAKKE     741-456-5086      255
 OJIPDPPGIHG HOLAKKE     741-456-5086     7379
 OJIPDPPGIHG HOLAKKE     741-456-5086     7013
 OJIPDPPGIHG HOLAKKE     741-456-5086     3723
 OJIPDPPGIHG HOLAKKE     741-456-5086     5138
 OJIPDPPGIHG HOLAKKE     741-456-5086     6467
 OJIPDPPGIHG HOLAKKE     741-456-5086     3999
 OJIPDPPGIHG HOLAKKE     741-456-5086     4593
 OJIPDPPGIHG HOLAKKE     741-456-5086     5873
 OJIPDPPGIHG HOLAKKE     741-456-5086     7898
 OKODNL JGDD             863-884-9664     4048
 OKODNL JGDD             863-884-9664     5187
 OKODNL JGDD             863-884-9664      999
 OKODNL JGDD             863-884-9664     3305
 OKODNL JGDD             863-884-9664     6516
 OKODNL JGDD             863-884-9664     2350
 OKODNL JGDD             863-884-9664     7062
 OKODNL JGDD             863-884-9664     5922
 OKODNL JGDD             863-884-9664     4642
 OKODNL JGDD             863-884-9664     1551
 OKODNL JGDD             863-884-9664      304
 OKODNL JGDD             863-884-9664     7947
 OKODNL JGDD             863-884-9664     2807
 OKPOTH FYIU             545-364-0562     3637
 OKPOTH FYIU             545-364-0562     4507
 OKPOTH FYIU             545-364-0562     6927
 OKPOTH FYIU             545-364-0562     2215
 OKPOTH FYIU             545-364-0562     7812
 OKPOTH FYIU             545-364-0562     5582
 OKPOTH FYIU             545-364-0562     2672
 OKPOTH FYIU             545-364-0562     3170
 OKPOTH FYIU             545-364-0562     6381
 OKPOTH FYIU             545-364-0562     5052
 OKPOTH FYIU             545-364-0562      169
 OKPOTH FYIU             545-364-0562     3913
 OKPOTH FYIU             545-364-0562      864
 OKPOTH FYIU             545-364-0562     5787
 OKPOTH FYIU             545-364-0562     1416
 OKPOTH FYIU             545-364-0562     7585
 OKPOTH FYIU             545-364-0562     7293
 OLBAVAG Y               693-138-8599     4069
 OLBAVAG Y               693-138-8599      325
 OLBAVAG Y               693-138-8599     1020
 OLBAVAG Y               693-138-8599     7968
 OLBAVAG Y               693-138-8599     2371
 OLBAVAG Y               693-138-8599     2828
 OLBAVAG Y               693-138-8599     1572
 OLBAVAG Y               693-138-8599     4663
 OLBAVAG Y               693-138-8599     6537
 OLBAVAG Y               693-138-8599     5943
 OLBAVAG Y               693-138-8599     7083
 OLBAVAG Y               693-138-8599     5208
 OLBAVAG Y               693-138-8599     3326
 OLV Q                   756-649-4342     1829
 OLV Q                   756-649-4342      582
 OLV Q                   756-649-4342     6200
 OLV Q                   756-649-4342     4326
 ONFHUBLRJOARXS CBATG    725-124-8330     7334
 ONFHUBLRJOARXS CBATG    725-124-8330     3678
 ONFHUBLRJOARXS CBATG    725-124-8330     5828
 ONFHUBLRJOARXS CBATG    725-124-8330     4548
 ONFHUBLRJOARXS CBATG    725-124-8330      210
 ONFHUBLRJOARXS CBATG    725-124-8330     7626
 ONFHUBLRJOARXS CBATG    725-124-8330     6968
 ONFHUBLRJOARXS CBATG    725-124-8330     1457
 ONFHUBLRJOARXS CBATG    725-124-8330     2713
 ONFHUBLRJOARXS CBATG    725-124-8330     3211
 ONFHUBLRJOARXS CBATG    725-124-8330     6422
 ONFHUBLRJOARXS CBATG    725-124-8330     2256
 ONFHUBLRJOARXS CBATG    725-124-8330     5093
 ONFHUBLRJOARXS CBATG    725-124-8330      905
 ONFHUBLRJOARXS CBATG    725-124-8330     3954
 ONFHUBLRJOARXS CBATG    725-124-8330     7853
 ONSATDMQ SMJAYWA        921-925-7743     4887
 ONSATDMQ SMJAYWA        921-925-7743     7128
 ONSATDMQ SMJAYWA        921-925-7743     3005
 ONSATDMQ SMJAYWA        921-925-7743     6216
 ONSATDMQ SMJAYWA        921-925-7743     3748
 ONSATDMQ SMJAYWA        921-925-7743     4342
 ONSATDMQ SMJAYWA        921-925-7743     3472
 ONSATDMQ SMJAYWA        921-925-7743     5622
 ONSATDMQ SMJAYWA        921-925-7743        4
 ONSATDMQ SMJAYWA        921-925-7743     1251
 ONSATDMQ SMJAYWA        921-925-7743     6762
 ONSATDMQ SMJAYWA        921-925-7743     2050
 ONSATDMQ SMJAYWA        921-925-7743     7647
 ONSATDMQ SMJAYWA        921-925-7743      699
 ONSATDMQ SMJAYWA        921-925-7743     2507
 ONSATDMQ SMJAYWA        921-925-7743     7420
 ONSATDMQ SMJAYWA        921-925-7743     5417
 ONUOXB RLV              742-116-8289      650
 ONUOXB RLV              742-116-8289     1897
 ONVHUDBVH CFPCVG        114-353-1065     2882
 ONVHUDBVH CFPCVG        114-353-1065     2425
 ONVHUDBVH CFPCVG        114-353-1065     5262
 ONVHUDBVH CFPCVG        114-353-1065      379
 ONVHUDBVH CFPCVG        114-353-1065     1626
 ONVHUDBVH CFPCVG        114-353-1065     5997
 ONVHUDBVH CFPCVG        114-353-1065     1074
 ONVHUDBVH CFPCVG        114-353-1065     3380
 ONVHUDBVH CFPCVG        114-353-1065     4123
 ONVHUDBVH CFPCVG        114-353-1065     4717
 ONVHUDBVH CFPCVG        114-353-1065     6591
 OOOROXIMPX XYG          916-680-6772     1821
 OOOROXIMPX XYG          916-680-6772      574
 OOOROXIMPX XYG          916-680-6772     4318
 OOOROXIMPX XYG          916-680-6772     6192
 OQGGJSSGYHHUWT IPRFRM   680-770-4289      670
 OQGGJSSGYHHUWT IPRFRM   680-770-4289     1917
 OQOTSKBFE GFXCHU        643-991-8037     2001
 OQXJNPGFESBJ DFMW       943-627-8828     4195
 OQXJNPGFESBJ DFMW       943-627-8828     6663
 OQXJNPGFESBJ DFMW       943-627-8828     1698
 OQXJNPGFESBJ DFMW       943-627-8828     2497
 OQXJNPGFESBJ DFMW       943-627-8828     1146
 OQXJNPGFESBJ DFMW       943-627-8828     6069
 OQXJNPGFESBJ DFMW       943-627-8828     3452
 OQXJNPGFESBJ DFMW       943-627-8828     2954
 OQXJNPGFESBJ DFMW       943-627-8828      451
 OQXJNPGFESBJ DFMW       943-627-8828     5334
 OQXJNPGFESBJ DFMW       943-627-8828     4789
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     4358
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     2523
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     7663
 ORCNPAEIKLJGCM AKFKQT   671-139-8708      715
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     1267
 ORCNPAEIKLJGCM AKFKQT   671-139-8708       20
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     5433
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     7144
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     7436
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     6232
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     3488
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     4903
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     3764
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     5638
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     3021
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     6778
 ORCNPAEIKLJGCM AKFKQT   671-139-8708     2066
 ORQCPAGVV YEMXSWCF      113-720-8162     1949
 OSIEJST DAXINQSG        628-142-3628     2007
 OSKMYN FFN              941-268-4688     1966
 OTRCSYKKE MY            741-079-8027     5963
 OTRCSYKKE MY            741-079-8027     2848
 OTRCSYKKE MY            741-079-8027     6557
 OTRCSYKKE MY            741-079-8027     5228
 OTRCSYKKE MY            741-079-8027     3346
 OTRCSYKKE MY            741-079-8027     4683
 OTRCSYKKE MY            741-079-8027     4089
 OTRCSYKKE MY            741-079-8027     1592
 OTRCSYKKE MY            741-079-8027     1040
 OTRCSYKKE MY            741-079-8027     2391
 OTRCSYKKE MY            741-079-8027     7103
 OTRCSYKKE MY            741-079-8027     7988
 OTRCSYKKE MY            741-079-8027      345
 OTXWBWANYDIV CKVCEUNS   661-355-7987     7717
 OTXWBWANYDIV CKVCEUNS   661-355-7987     3542
 OTXWBWANYDIV CKVCEUNS   661-355-7987     3075
 OTXWBWANYDIV CKVCEUNS   661-355-7987     5487
 OTXWBWANYDIV CKVCEUNS   661-355-7987     2577
 OTXWBWANYDIV CKVCEUNS   661-355-7987     6832
 OTXWBWANYDIV CKVCEUNS   661-355-7987     6286
 OTXWBWANYDIV CKVCEUNS   661-355-7987       74
 OTXWBWANYDIV CKVCEUNS   661-355-7987     2120
 OTXWBWANYDIV CKVCEUNS   661-355-7987     7490
 OTXWBWANYDIV CKVCEUNS   661-355-7987     7198
 OTXWBWANYDIV CKVCEUNS   661-355-7987     1321
 OTXWBWANYDIV CKVCEUNS   661-355-7987     3818
 OTXWBWANYDIV CKVCEUNS   661-355-7987     4957
 OTXWBWANYDIV CKVCEUNS   661-355-7987     5692
 OTXWBWANYDIV CKVCEUNS   661-355-7987      769
 OTXWBWANYDIV CKVCEUNS   661-355-7987     4412
 OUB MDQGD               508-101-5630     5370
 OUB MDQGD               508-101-5630     4231
 OUB MDQGD               508-101-5630     1182
 OUB MDQGD               508-101-5630     6105
 OUB MDQGD               508-101-5630     4825
 OUB MDQGD               508-101-5630     1734
 OUB MDQGD               508-101-5630     6699
 OUB MDQGD               508-101-5630      487
 OUB MDQGD               508-101-5630     2990
 OUHQKQHJSF PKR          509-220-9116     6889
 OUHQKQHJSF PKR          509-220-9116     3599
 OUHQKQHJSF PKR          509-220-9116     5014
 OUHQKQHJSF PKR          509-220-9116      826
 OUHQKQHJSF PKR          509-220-9116     5749
 OUHQKQHJSF PKR          509-220-9116     5544
 OUHQKQHJSF PKR          509-220-9116     4469
 OUHQKQHJSF PKR          509-220-9116     7255
 OUHQKQHJSF PKR          509-220-9116      131
 OUHQKQHJSF PKR          509-220-9116     3132
 OUHQKQHJSF PKR          509-220-9116     2634
 OUHQKQHJSF PKR          509-220-9116     6343
 OUHQKQHJSF PKR          509-220-9116     2177
 OUHQKQHJSF PKR          509-220-9116     7547
 OUHQKQHJSF PKR          509-220-9116     7774
 OUHQKQHJSF PKR          509-220-9116     3875
 OUHQKQHJSF PKR          509-220-9116     1378
 OVFSVNHPDCSWS EQRBGSO   563-056-7686      611
 OVFSVNHPDCSWS EQRBGSO   563-056-7686     1858
 OVYCBXWJEDIGY IXP       861-743-0200      855
